SeedlingID,Height,Width,Intersect,Plant_Area,Image_ID_Portrait,Processed_Image_ID_Portrait,Date,Project,Depth,Plant_ellipsoid,Image_ID_Overview,Processed_Image_ID_Overview
938,6.2,3.3,5.2,10.23,DSC_0167.JPG,Processed_DSC_0167.JPG,10/17/19,HF,NA,NA,NA,NA
408,7.3,3.8,4.4,13.87,DSC_0167.JPG,Processed_DSC_0167.JPG,10/17/19,HF,NA,NA,NA,NA
514,6.7,2.4,5.4,8.04,DSC_0306.JPG,Processed_DSC_0306.JPG,11/14/19,PC,NA,NA,NA,NA
105,3.7,4.1,1.7,7.585,DSC_0306.JPG,Processed_DSC_0306.JPG,11/14/19,PC,NA,NA,NA,NA
76,3.9,2.3,2.6,4.485,DSC_0306.JPG,Processed_DSC_0306.JPG,11/14/19,PC,NA,NA,NA,NA
676,2,1.9,1.6,1.9,DSC_0306.JPG,Processed_DSC_0306.JPG,11/14/19,PC,NA,NA,NA,NA
45,5,3,4.2,7.5,DSC_0306.JPG,Processed_DSC_0306.JPG,11/14/19,PC,NA,NA,NA,NA
894,3.9,3.5,2.3,6.825,DSC_0168.JPG,Processed_DSC_0168.JPG,10/17/19,HF,NA,NA,NA,NA
519,6,2.8,3.6,8.4,DSC_0168.JPG,Processed_DSC_0168.JPG,10/17/19,HF,NA,NA,NA,NA
690,4.5,2,2.8,4.5,DSC_0168.JPG,Processed_DSC_0168.JPG,10/17/19,HF,NA,NA,NA,NA
567,7.4,1.9,5.1,7.03,DSC_0168.JPG,Processed_DSC_0168.JPG,10/17/19,HF,NA,NA,NA,NA
1032,5,3.5,3.4,8.75,DSC_0168.JPG,Processed_DSC_0168.JPG,10/17/19,HF,NA,NA,NA,NA
824,4.2,2.5,2.7,5.25,DSC_0169.JPG,Processed_DSC_0169.JPG,10/17/19,HF,NA,NA,NA,NA
112,4.3,3.1,3.1,6.665,DSC_0169.JPG,Processed_DSC_0169.JPG,10/17/19,HF,NA,NA,NA,NA
